bn:00000004n	शून्य जीरो 0 शून्य_समारोह
bn:00032894n	kinfolk उपजाति परिवार परिवार_लाइन स्वजन
bn:00032897n	फैलोशिप
bn:00032899n	पारिवारिक_व्यवसाय
bn:00033599n	पंखा प्रशंसक यांत्रिक_प्रशंसक
bn:00033616n	भ्रम
bn:00033618n	
bn:00033622n	दलाल pandar pimps खरीद दूती बुरे_कार्यों_में_सहायता_करने_वाला रोगी सारिका
bn:00033648n	स्वैरकल्पना फंतासी कल्पना
bn:00033650n	fantods
bn:00033661n	भड़ैंती farces प्रहसन प्रहसन_कॉमेडी हास्यास्पद
bn:00033664n	
bn:00033671n	विदाई_के_शब्द
bn:00033676n	खेत फ़ार्म खलिहान farmsteads खेतों
bn:00033678n	पशुधन कृषि_जानवर खेत_जानवरों पशुओं
bn:00033687n	किसान कृषक किसानों sodbuster कृषकों खेतिहर ग्रेंजर
bn:00033693n	खलिहान_के_पास_का_किसान_का_घर खेत_घर फार्महाउस
bn:00033726n	फासीवाद फ़ासीवाद फ़ासी_वाद फासिज्म फासिस्टों
bn:00033729n	मोड तरीके शैली
bn:00033731n	फैशन फ़ैशन फैशन_उद्योग
bn:00033750n	एक_तेजी
bn:00033761n	वसा चर्बी असंतृप्त_वसा पॉली_असंतृप्त_वसा संतृप्त_वसा
bn:00033773n	मनुष्य_की_मृत्यु
bn:00033794n	थकान आलस्य थकावट सुस्त
bn:00033830n	गलत_क़दम अशुद्धीच्चारण चूक
bn:00033832n	एहसान पक्ष
bn:00033833n	
bn:00033834n	
bn:00033838n	
bn:00033854n	डर भय ख़ौफ़ खौफ सहम fear
bn:00033865n	पंख पर पंखों परों पक्षति filoplume ग्रहण_पक्षति पिच्छिका
bn:00033882n	फ़रवरी फरवरी फ़र.
bn:00033909n	अमेरिका_की_संघीय_सरकार अमेरिकी_सरकार संघीय_सरकार संयुक्त_राज्य_अमेरिका_की_संघीय_सरकार
bn:00033912n	संघीय_आवास_प्रशासन एफएचए संघीय_आवास_प्राधिकरण
bn:00033919n	सर्बिया_और_मोण्टेनेग्रो सर्बिया_और_मोंटेनीगरो मॉन्टीनीग्रो सर्बिया_और_मोंटेनीग्रो jugoslavija यूगोस्लाविया_के_संघीय_गणराज्य संघ_सर्बिया_और_मोंटेनीग्रो सर्बिया_और_मॉन्टेनेग्रो
bn:00033938n	फ़ेडोरा फेडोरा fedora fedora_टोपी stetson stetson_टोपी trilby अंजाक_के_सैनिकों_का_झुके_हुए_किनारों_वाला_एक_प्रकार_का_टोप टोपी_लगा मुलायम_नमदे_का_हैट_जिसका_किनारा_कम_चौड़ा_होता_है
bn:00033939n	शुल्क फ़ीस वेतन फीस
bn:00033946n	खिलाना फ़ीड
bn:00033960n	भावना
bn:00033963n	अनुभूति एहसास
bn:00033964n	
bn:00033988n	ऑसेलॉट ओसीलट ओसेलोट औसेलौट औसीलट ocelots pardalis तेंदुआ_बिल्ली फेलिस_pardalis
bn:00034003n	सहानुभूति
bn:00034004n	सदस्य साथी_सदस्य
bn:00034016n	महिला स्त्री औरत दुखतर मादा महिलाओं
bn:00034017n	महिला_व्यक्ति
bn:00034021n	छोटी_लड़की महिला_बच्चे लड़की
bn:00034027n	माता माँ करियर_को_लेकर_कंफ्यूजन_है_?_तो_करें_ये_काम मां सिया_देवी_तीर्थ_स्थल महिला_अभिभावक माताओं
bn:00034040n	ऊर्विका ऊर्वस्थि thighbone जाँघ_की_लंबी_हड्डी_जो_ऊपर_कूल्हे_से_तथा_नीचे_टिबिया_एवं_टेला_जुड़ी_होती_है जाँघ_की_हड्डी जांघ_की_हड्डी जांध_की_हड्डी फीमर
bn:00034048n	बाड़
bn:00034051n	बाड़_लाइन
bn:00034054n	बाड़_रेल रेल_विभाजित
bn:00034115n	निर्दयता प्रचंडता भयंकरता
bn:00034150n	
bn:00034205n	रेशा रेशों फाइबर रेशेदार
bn:00034220n	आतंच
bn:00034230n	तंतुमयता फाइब्रोसिस antifibrotic fibrotic
bn:00034242n	कहानी_के_तत्व काल्पनिक_साहित्य गल्प_लेखन काल्पनिक यथार्थवादी_कल्पना
bn:00034250n	बेला वायलिन सारंगी वायोलिन fiddlers fiddles violins नगण्य
bn:00034265n	क्षेत्र खेत कृषिक_क्षेत्र कृषि_क्षेत्र
bn:00034266n	क्षेत्र
bn:00034267n	क्षेत्र बल_के_क्षेत्र बल_क्षेत्र
bn:00034268n	आपरेशन_के_क्षेत्र क्षेत्र
bn:00034269n	क्षेत्र
bn:00034287n	
bn:00034291n	क्वार्टरबैक
bn:00034326n	प्रारम्भिक_जाँच
bn:00034364n	मध्य_अर्द्धशतक
bn:00034369n	आंकड़ा
bn:00034386n	figural_अंधापन
bn:00034389n	आंकड़ा
bn:00034390n	सार्वजनिक_हस्ती कलाकार सार्वजानिक_हस्ति आंकड़ा सार्वजनिक_आंकड़ा
bn:00034391n	आंकड़ा
bn:00034392n	
bn:00034393n	
bn:00034394n	संख्या
bn:00034404n	नाममात्र_सिर सामने_आदमी
bn:00034406n	छोटी_मूर्ति प्रतिमा मूर्ति लघु_प्रतिमा
bn:00034424n	रेती फ़ाइल
bn:00034444n	
bn:00034448n	filipinos
bn:00034452n	
bn:00034453n	लड़की fille कुमारी जवान_औरत लड़कियों
bn:00034468n	पेट्रोल_पंप गैस_स्टेशन पेट्रोल_स्टेशन ईंधन_स्टेशन गैस_स्टेशनों पेट्रोल_स्टेशनों स्टेशन_भरने
bn:00034471n	फ़िल्म चलचित्र फिल्म चलचित्रों मोशन_पिक्चर_कैमरा सिनॆमा सिनेमा हो_सकता_है गति_-_चित्र_शो गति_चित्रों गति_तस्वीर चलती_तस्वीर_दिखाने चित्रों_की_नुमाइश तस्वीर_चलती नाटकीय_फिल्म प्रमुख_चलचित्र फिल्मों बड़ी_फिल्म_है बड़े_परदे मोशन_पिक्चर
bn:00034473n	फिल्म_के
bn:00034484n	फिल्म_स्टार फ़िल्म_स्टार अभिनीत प्रधान_पात्री फिल्म_सितारों
bn:00034519n	अंतिम_अवधि
bn:00034520n	परिणाम नतीजा अंतिम_परिणाम
bn:00034543n	वित्त_वर्ष वित्तीय_वर्ष
bn:00034545n	धन वित्त_पोषित वित्तपोषण
bn:00034565n	उंगली अंगुल अंगुलि अंगुली अंगुश्त उंगलियों
bn:00034589n	अंगुलि_छाप अंगुलिचिह्न अंगुलीछाप dactyloscopy_के उंगली_प्रिंट फिंगरप्रिंट फिंगरप्रिंट_पहचान
bn:00034609n	फिन फिन_वर्ग
bn:00034623n	आग
bn:00034624n	आग
bn:00034625n	आग लौ ज्वाला अग्नि आतिश लपट शोला ज्वलंत
bn:00034676n	अग्निशस्त्र लघुशस्त्र छोटे_हाथ बन्दूक आग्नेयास्त्रों छोटे_हथियारों बंदूक_दुकान
bn:00034696n	
bn:00034702n	चिमनी अगेना fireplaces hearths खुली_चिमनी चूल्हा
bn:00034733n	resoluteness उद्देश्य_की_दृढ़ता
bn:00034737n	
bn:00034786n	1_दोस्त पहले_मेट
bn:00034788n	प्रदत्त_नाम दिए_गए_नाम प्रथम_नाम मुख्यनाम
bn:00034789n	मई_दिवस १_मई 1_मई १_मई,_२००९ दिन_मई मई_के_पहले
bn:00034797n	इस_कदम_खोलने इस_दिशा_में_पहला_कदम पहल पहला_कदम
bn:00034798n	रूमेण 1_पेट
bn:00034806n	प्रथम_विश्व_युद्ध प्रथम_विश्वयुद्ध पहला_विश्व_युद्ध प्रथम_महायुद्ध प्रथम_विश्व_युद्घ प्रथम_विश्व_युद्ध_के महान_युद्ध युद्ध_के_अंत_युद्ध विश्व_युद्ध_के_1
bn:00034816n	मछली मीन मच्छी मत्स्य माही मछलियाँ मछलियों मछ्ली मत्सय pterygiophore नरम_रे
bn:00034817n	मीन
bn:00034854n	मछुआ मछुआरा धीवर माहीगीर मछुआरों मछुआरे
bn:00034869n	मछली_पकड़ने_के_जाल fishnet
bn:00034898n	fittingness फिटनेस मतलब_फिटनेस
bn:00034899n	शारीरिक_फिटनेस शारीरिक_स्वस्थता fitness शारीरिक_योग्यता
bn:00034919n	
bn:00034921n	तय
bn:00034949n	
bn:00034969n	सफेद_झंडा संघर्ष_विराम_के_ध्वज
bn:00034995n	फ्लेल मूसल
bn:00034996n	
bn:00035052n	
bn:00035127n	मुरली_बजानेवाला बाँसुरी_वादक बांसुरीवादक मुरली_बजनेवाला
bn:00035137n	सुवास ज़ायक़ा स्वाद कृत्रिम_सुगंध कृत्रिम_सुगंध_के कृत्रिम_स्वाद प्राकृतिक_जायके शक्का स्वाद_बढ़ाने स्वादिष्ट_बनाने_का_मसाला स्वादिष्ट_बनाने_का_मसाला_एजेंट
bn:00035168n	भगोड़ा
bn:00035182n	मांस क्रव्य लहम
bn:00035189n	लचीलापन
bn:00035190n	
bn:00035198n	
bn:00035201n	
bn:00035206n	
bn:00035207n	उड़ान
bn:00035208n	कदम_की_उड़ान सीढ़ी
bn:00035209n	उड़ान
bn:00035246n	करतब_दिखाने_टॉस
bn:00035304n	फर्श फ़र्श
bn:00035305n	मंजिल मंज़िल कहानी फर्श_नंबर मंजिला मंजिलें
bn:00035313n	फर्श_बोर्ड
bn:00035318n	floorplan फर्श_की_योजना फर्श_योजनाओं
bn:00035324n	वनस्पति पादप वनस्पतिजात वनस्पतियां पौधों पौधा पौधे पौधे_का_तना वनस्पति_जगत floras प्रजातियों_के_पौधे संयंत्र संयंत्र_जीवन
bn:00035370n	hydrodynamic तैरल_पदार्थ_की_तरह_बहता_हुआ द्रव_का_प्रवाह प्रवाह
bn:00035371n	प्रवाह_दर प्रवाह प्रवाह_-_दर प्रवाह_की_दर बड़ा_प्रवाह बड़ा_प्रवाह_की_दर
bn:00035372n	
bn:00035378n	पुष्प फूल फूल_का_खिलना पुष्पिका पुष्पीय फ़ूल सुमन
bn:00035383n	फूल_बगीचे फूलों_का_भाग
bn:00035388n	दल_चक्र पंखड़ी पंखुड़ी पुष्प_दल पत्ती दलरहित पंखुड़ियों फूल_पत्ती
bn:00035391n	खुलासा
bn:00035414n	
bn:00035423n	
bn:00035426n	तरल तरल_पदार्थ
bn:00035448n	fluorescein fluoresceine fluorophore fluorophores resorcinolphthalein फ्लोरोसेंट_रंजक
bn:00035450n	प्रतिदीप्ति fluorescer
bn:00035470n	बर्फ_घबराहट
bn:00035482n	अभिवाह फ़्लक्स फ्लक्स स्रुत प्रवाह
bn:00035483n	बहाव
bn:00035487n	चुम्बकीय_क्षेत्र चुम्बकीय_क्षेत्र_की_तीव्रता फ्लक्स_घनत्व चुंबकीय_क्षेत्र चुंबकीय_क्षेत्र_लाइन चुंबकीय_प्रवाह
bn:00035496n	मक्खी सामने_उड़ान_भरने_के
bn:00035497n	गेंद_मक्खी
bn:00035558n	
bn:00035570n	कुहरा कोहरा धुंध कोहरे जमीन_कोहरे
bn:00035580n	पन्नी
bn:00035584n	नाकाम विफल
bn:00035596n	पत्ती पत्ता पत्ते पत्तियाँ पत्तियों पत्तों पत्‍तियाँ axils midrib_हैं pubescent दँतीला धुरी_डंठल_और_पत्ते_अथवा_शाखा_तने_के_बीच_का_कोण पत्तियां बेसल_पत्ता मध्यतल_की_ओर मिश्रित_पत्तियां शरीर_की_अक्ष_रेखा_में_न_स्थित_रहने_वाला
bn:00035616n	लोक_लेखक
bn:00035617n	लोक_संस्कृति लोककथा लोकसाहित्य लोकवार्ता लोकवार्ता,_लोकयान folkloric लोक_कहानियों लोक_ज्ञान लोक_विद्या लोककथाओं
bn:00035629n	
bn:00035649n	पोषक_तत्व macronutrient macronutrients पोषक_तत्वों भोजन
bn:00035670n	food_waste खाना_बर्बाद घरेलू_अपशिष्ट ठोस_अपशिष्ट नगर_निगम_के_कचरे नगरपालिका_ठोस_अपशिष्ट मना_करना स्क्रैप
bn:00035672n	saphead बुद्धु विदूषक
bn:00035679n	पैर पांव पैरों pes मानव_पैर
bn:00035680n	फुट फ़ुट फ़ीट फीट पैर
bn:00035682n	पैर_रीढ़रहित
bn:00035683n	
bn:00035685n	इन्फेंट्री पदाति पाजी प्यादा पैदल_सेना पैदल पैदल_सेना_रेजिमेंट
bn:00035695n	दौड़_का_मुक़ाबला पैर_दौड़
bn:00035696n	footrot पैर_सड़ांध
bn:00035704n	फ़ुटबॉल फुटबाल फुटबॉल फुटबॉल_खेल
bn:00035727n	चाल
bn:00035732n	
bn:00035736n	पदचिह्न पैरों_के_निशान
bn:00035745n	
bn:00035746n	कदम
bn:00035762n	कष्ट_सहने_की_शक्ति धैर्य
bn:00035767n	
bn:00035768n	बल बलों
bn:00035769n	प्रबलता बल
bn:00035770n	कर्मियों
bn:00035771n	सैन्य_इकाई इकाई गठन सैन्य_गठन सैन्य_बल सैन्य_संगठन सैन्य_समूह
bn:00035773n	
bn:00035778n	दाब दबाव तरल_दबाव दबाव_स्तर पानी_के_दबाव बल_प्रति_इकाई_क्षेत्र
bn:00035801n	forearms प्रकोष्ठ
bn:00035814n	मामूली_बात
bn:00035815n	
bn:00035832n	मिशन मिशनरी_पोस्ट मिशनरी_स्टेशन विदेशी_मिशन
bn:00035835n	विदेश_नीति विदेशी_मामलों
bn:00035851n	सुबह सवेरा प्रभात पूर्वाह्न सुबह_के_समय
bn:00035855n	अग्रांत शिर सामने
bn:00035859n	
bn:00035868n	वन जंगल forest आरक्षित_वन जंगलों रक्षित_वन वनों वुड्स शंकुधारी_वन
bn:00035886n	
bn:00035894n	विस्मरण भूल
bn:00035902n	कांटा काँटा
bn:00035907n	तरह प्रकार
bn:00035908n	पैटर्न
bn:00035909n	आकार
bn:00035911n	प्रभेद var var. तनाव फार्म
bn:00035914n	प्रावस्था चरण
bn:00035918n	शब्द_भेद शब्द_वर्ग फार्म_का_वर्ग भाग_के_भाषण शब्दखंड शाब्दिक_वर्ग शाब्दिक_श्रेणियों
bn:00035928n	गणितीय_तर्कशास्त्र गणितीय_तर्क औपचारिक_तर्क प्रतीकात्मक_तर्क
bn:00035943n	
bn:00035960n	नुस्खा
bn:00035961n	
bn:00035965n	
bn:00035983n	मजबूत_बिंदु
bn:00035986n	पियानो fortepianist fortepiano pianoforte एक_अंग्रेली_बाजा,_पियानो_का_पूरा_नाम_जो_केवल_औपचारिक_रूप_से_प्रयुक्त_होता_है ग्रांड_पियानो ध्वनिक_पियानो प्रधान_गुण_-_पियानो बच्चे_भव्य_पियानो शास्त्रीय_पियानो
bn:00035996n	दो_सप्ताह द्वि_साप्ताहिक पखवाड़ा पखवाड़े पाक्षिक
bn:00036002n	
bn:00036041n	पालक_माता_पिता माता_-_पिता_को_बढ़ावा
bn:00036047n	
bn:00036063n	क़ायदा कायदा बुनियाद
bn:00036077n	पानी_का_चश्मा चश्मा पानी_के_चश्मे पानी_के_चश्मों पानी_के_चशमों पानी_के_चश्में प्राकृतिक_वसंत पानी_वसंत मीठे_पानी_वसंत वसंत वसंत_पानी
bn:00036107n	वर्गाकार वर्ग सचाई_से
bn:00036110n	
bn:00036111n	एक_चौथाई क्वार्टम चौथाई चौथे_भाग पच्चीस_प्रतिशत
bn:00036116n	चौथे_आयाम
bn:00036120n	अमेरिका_का_स्वतंत्रता_दिवस ४_जुलाई 4_जुलाई जुलाई_के_चौथे स्वतंत्रता_दिवस
bn:00036129n	लोमड़ी मक्कार लोमड़ियों
bn:00036152n	अंश
bn:00036159n	
bn:00036178n	
bn:00036182n	फ्रेम_था
bn:00036184n	पारी
bn:00036197n	आर्थिक_मॉडल मॉडल सैद्धांतिक_खाते
bn:00036202n	फ़्राँस फ्रांस फ़्रांस फ़्रान्स फ्राँस फ्रान्स france फ्रांस_गणराज्य
bn:00036207n	franchise
bn:00036284n	बिरादरी कॉलेज_बिरादरी बिरादरियों भाईचारे_संगठन
bn:00036360n	मूलक मुफ्त_कट्टरपंथी ऑक्सीजन_कण_है कट्टरपंथी मुक्त_कट्टरपंथी मुक्त_कण
bn:00036376n	स्वतंत्रता
bn:00036377n	विद्रोही बाग़ी स्वतंत्रता_सेनानी प्रतिरोध_आंदोलन बलवाई
bn:00036396n	आज़ादी मुक्ति मोक्ष रिहाई मुक्त_कराने_के
bn:00036426n	फ़्रांसीसी फ़्राँसीसी फ़्रान्सीसी_भाषा फ़्रांसीसी_भाषा फ़्रेंच फ्रेंच फ्रेंच_भाषा french_language फ़्राँसिसी_भाषा फ़्राँसीसी_भाषा फ़्रांसिसी_भाषा फ़्रान्सीसी फ़्रेन्च_भाषा फ्राँसीसी फ्राँसीसी_भाषा फ्रांससी फ्रांसिसी फ्रांसिसी_भाषा फ्रांसीसी फ्रांसीसी_भाषा फ्रांसीसीः फ्रान्सीसी_भाषा फ्रेन्च_भाषा फ्रेंच_भाषी
bn:00036431n	फ्रेंच_नीला_नीला_सा फ्रेंच_नीला_सा फ्रेंच_नीले
bn:00036456n	फ्रांसीसी फ़्रांसिसी फ़्रांसीसी फ्रेंच_व्यक्ति
bn:00036471n	आवृत्ति आवर्तकाल आवृति तरंग_आवर्तकाल oftenness अवधि अविराम आवृत्ति_रेंज आवृत्तियों लहर_अवधि
bn:00036472n	बारम्बारता आवृत्ति रिश्तेदार_आवृत्ति
bn:00036492n	
bn:00036512n	शुक्रवार शुक्र जुमा जुम्मा
bn:00036522n	माचिस दियासलाई घर्षण_मैच मैच सुरक्षा_मैचों
bn:00036538n	दोस्त
bn:00036568n	परिधि बाहरी_सीमा
bn:00036627n	
bn:00036632n	सामाजिक_आन्दोलन आंदोलन सामाजिक_आन्दोलन_कर्ता_के_मूर्त_रूप_गोटीराम_अहिरवार सामाजिक_आंदोलन सामाजिक_आंदोलनों
bn:00036636n	सामने_के_दरवाजे सामने_प्रवेश_द्वार
bn:00036638n	सामने_बरामदे
bn:00036640n	बैठक_का_कमरा बैठकख़ाना कमरे_में_बैठे कमरे_में_रहने_वाले पार्लर रहने_वाले_कमरे सामने_के_कमरे
bn:00036642n	मुखभाग
bn:00036654n	frontiersmen सरहदी_सिपाही सीमा
bn:00036657n	सीमा_निपटान
bn:00036686n	फल फलों
bn:00036687n	
bn:00036700n	फलदार_वृक्ष fruittree फल_का_वृक्ष फलों_के_पेड़
bn:00036772n	जनरल पूर्ण_सामान्य सामान्य
bn:00036781n	किट_और_caboodle किट_और_मेला पूरा_काम_करता_है पूरा_मामला पूरी_किट पूरे_किट_और_caboodle पूरे_किट_और_मेला पूर्ण_उपचार सब_के_सब
bn:00036805n	टटोलना fumbles
bn:00036806n	धुआँ धुँआ धुँए धुँवा धूआं
bn:00036807n	fumed_ओक
bn:00036813n	मस्ती मज़ा amusement
bn:00036821n	प्रतिचित्रण फलन समारोह एकल_मूल्य_समारोह गणितीय_फलन गणितीय_समारोह नक्शा मानचित्रण
bn:00036822n	उद्देश्य उपयोग भूमिका समारोह
bn:00036823n	कार्य कार्यालय भूमिका समारोह
bn:00036837n	अधिकारी कर्तव्य_अदा निर्वाचित_अधिकारियों निर्वाचित_पद पदाधिकारी सरकारी_अधिकारी
bn:00036839n	मुद्रा_कोष
bn:00036840n	
bn:00036855n	अंत्येष्टि क्रिया_कर्म क्रियाकर्म जनाज़ा अंतिम_संस्कार funerals अंतिम_संस्कार_सेवा स्मारक_सेवा
bn:00036856n	अंतिम_संस्कार_पार्लर अंतिम_संस्कार_के_घर अंतिम_संस्कार_के_घरों अंतिम_संस्कार_घर अंतिम_संस्कार_चर्च अंतिम_संस्कार_चैपल अंतिम_संस्कार_निवास
bn:00036875n	आकार_कीप
bn:00036882n	ऊर्णाजिन फ़र फर furs गार्ड_बाल नीचे_बाल
bn:00036894n	थोड़े_दिन_की_छुट्टी
bn:00036910n	क्रोध
bn:00036926n	
bn:00036938n	निरर्थकता
bn:00036941n	भविष्य आइंदा भविष्यकाल मुस्तकबिल मुस्तक़बिल आने_वाले_समय
bn:00036957n	ग्राम g चना छ
bn:00036984n	महमेज़ प्रेरणा
bn:00036992n	उपकरणों
bn:00037008n	चुटकुला चुटकुले परिहास लतीफ़ा लतीफ़े लतीफ़ों लतीफा हास्य मजाक ठट्ठा_लगाना परिहासशील मज़ाक
bn:00037011n	टैग_लाइन धोखा_-_धड़ी_करना_लाइन पंच_लाइन
bn:00037015n	
bn:00037018n	gagster gagwriter रेडीयो_को_मज़ाक_करनेवाला
bn:00037022n	
bn:00037030n	गति
bn:00037040n	
bn:00037140n	वोल्टाई_पाइल voltaic_ढेर प्रारंभिक_बैटरियों_की_किस्मों_के_प्राचीन_नाम सूखी_ढेर
bn:00037171n	जुआ_नरक जुआ_मांद जुआघर
bn:00037180n	क्रीडा खेल
bn:00037181n	खेल
bn:00037182n	खेल
bn:00037187n	गुप्त_योजना साजिश
bn:00037219n	गेमिंग_कार्ड
bn:00037225n	गामा_ग्लोब्युलिन गामा_रक्तगोलिका मानव_गामा_ग्लोब्युलिन
bn:00037253n	परिगलन कोथ ग्रैंग्रीन गेंग्रीन गैंगरीन ऊतक_परिगलन कोथयुक्त नेक्रोटाइज़िंग परिगलित
bn:00037256n	gangster डकैत अपराधी सरगना
bn:00037283n	गेराज गैराज
bn:00037296n	garboil हलचल
bn:00037301n	
bn:00037302n	बगीचे
bn:00037326n	उत्पादन उद्यान_उपज सब्ज़ी हरी_किराने_का_सामान
bn:00037328n	माली
bn:00037382n	गैस गैसीय गैसों गैसें गैसीय_अवस्था
bn:00037383n	गैस
bn:00037390n	गैस_-_कल्ला गैस_बर्नर
bn:00037439n	paralinguistic पैरालेंग्वेज हांफी
bn:00037441n	
bn:00037486n	गेट
bn:00037487n	लॉजिक_गेट तर्क_द्वार तर्कद्वार तर्क_फाटक असतत_तर्क तर्क_फाटकों तर्क_सर्किट
bn:00037498n	सेंट_लुइस पश्चिम_के_लिए_गेटवे
bn:00037524n	गॉस gauss
bn:00037526n	प्रसामान्य_बंटन गाऊसी_वितरण सामान्य_वितरण मानक_सामान्य मानक_सामान्य_वितरण सामान्य_रूप_से_वितरित
bn:00037541n	गे समलैंगिक_पुस्र्ष homophile समलैंगिक homophile_आंदोलन
bn:00037576n	gearset
bn:00037605n	
bn:00037609n	कीमती_पत्थर
bn:00037633n	लिंग व्याकरणिक_लिंग पुल्लिंग व्याकरण_लिंग पुल्लिंग_था प्राकृतिक_लिंग व्याकरणिक_लिंग_के स्त्री_लिंग
bn:00037655n	विधायिका विधानपालिका विधायी_निकाय classis presbytery कानून_निर्माताओं प्रेस्बिटेरियन_मंत्री प्रेस्बिटेरियन_राजनीति विधानमंडल विधायिकाओं विधायी विधायी_शक्ति विधायी_शाखा व्यवस्थापिका_विभाग
bn:00037676n	पीढ़ी नस्ल पुश्त
bn:00037677n	
bn:00037679n	
bn:00037765n	goy goyim अन्यजातियों ईसाई_औऱ_यहूदी गैर_यहूदियों_के गैर_यहूदी
bn:00037769n	सज्जन सज्जनों
bn:00039375n	psithyrus जीनस_psithyrus
bn:00040151n	भूरसायन भूरसायनिक geochemistry geochemical geochemist
bn:00040160n	भौगोलिक_क्षेत्र
bn:00040169n	भूवैज्ञानिक भूविज्ञानी भूवैज्ञानिकों
bn:00040178n	ज्यामितीय_अनियमितता
bn:00040239n	जॉर्ज_वॉशिंगटन george_washington जॉर्ज_वाशिंगटन जार्ज_वाशिंगटन जार्ज_वॉशिंगटन जॉर्ज_वॉशिंग्टन राष्ट्रपति_वाशिंगटन
bn:00040284n	स्रोत
bn:00040292n	जर्मन_लोग जरमन जर्मन
bn:00040293n	जर्मन जर्मन_भाषा उच्च_जर्मन germanophone जर्मन_भाषी
bn:00040335n	इशारा संकेत भाव
bn:00040336n	हावभाव संकेत इशारा इशारों
bn:00040337n	
bn:00040368n	wraith भूत मृत्यु_के_कुछ_क्षण_पूर्व_अथवा_पश्चात_दिखाई_देने_वाली_उस_व्यक्ति_की_प्रेतात्मा
bn:00040371n	
bn:00040386n	
bn:00040387n	
bn:00040432n	gibson_girl गिब्सन_लड़की
bn:00040436n	उपहार प्रस्तुत
bn:00040443n	
bn:00040509n	जिन्को_बाइलोबा जिन्कगो जिन्कगो_biloba gingko गिंको मेडेनहेयर_पेड़
bn:00040536n	गर्लफ्रेंड प्रेमिका गर्लफ़्रेंड महिला_मित्र लड़की
bn:00040566n	दिए_गए
bn:00040592n	ग्रन्थि ग्रंथि secreter ग्रंथियों निकालने_वाला स्रावी_अंग
bn:00040605n	कांच काँच ग्लास शीशा काच glassmaker glassmaking बेजान
bn:00040628n	कांचबिंदु कांच_बिंदु_रोग काला_मोतिया ग्लूकोमा ग्लॉकोमा मोतिया_बिन्द मोतियाबिंद
bn:00040701n	
bn:00040714n	resplendency चमक
bn:00040717n	पारिभाषिक_शब्दावली शब्दावली तकनीकी_शब्दावली पारिभाषिक_कोश शब्दकोष glosses
bn:00040758n	गोंद लेस सरेस कफ लसदार
bn:00040810n	ग्रीनविच_मीन_टाइम gmt ut1 ग्रीनिच_मध्यमान_समय यूनिवर्सल_समय विश्व_समय
bn:00040830n	सकल_राष्ट्रीय_उत्पाद सकल_राष्ट्रीय_आय gnp राष्ट्रीय_आय जीएनपी
bn:00040864n	नाविक अनुभवी जलव्याघ्र साधारण_मल्लाह
bn:00040870n	meleagrididae turkeys टर्की टर्की_मुर्गा टॉम_टर्की
bn:00040878n	भगवान ईश्वर ईश्वर_की_वैज्ञानिक_व्याख्या रचयिता विधाता सुप्रीम_होने_के_नाते
bn:00040888n	देवी पवित्र_स्त्रैण
bn:00040917n	घेंघा_रोग गलगंड घेंघा घेघा गण्डमाला thyromegaly
bn:00040918n	goitrogen
bn:00041010n	गोल्फ गोल्फ़ गॉल्फ़ गोल्फ_खेल गोल्फ_टूर्नामेंट
bn:00041018n	होल_गोल्फ
bn:00041020n	गोल्फ_लिंक लिंक
bn:00041025n	गोल्फ_विधवा
bn:00041059n	अच्छा
bn:00041061n	अच्छाई
bn:00041073n	सुबह_अच्छा
bn:00041083n	
bn:00041098n	हंस कलहंस हंसी कुछ_कलहंस
bn:00041113n	रिपब्लिकन_पार्टी रिपब्लिकन gop
bn:00041188n	शासित
bn:00041192n	राजनीति_विज्ञान राजनीतिशास्त्र युनिवर्सिटी_ऑफ_राजस्थान राजनीति-विज्ञान politologist politology राजनीतिक_अध्ययन राजनीतिक_विज्ञान राजनीतिक_विश्लेषक राजनीतिक_वैज्ञानिक
bn:00041204n	राज्यपाल राज्यपालों गवर्नर गवर्नर_चुनाव राज्य_के_राज्यपाल_है सैन्य_राज्यपाल
bn:00041208n	गाउन
bn:00041221n	अनुग्रह अनुग्रह_के_राज्य
bn:00041239n	स्तर
bn:00041241n	अंक ग्रेड ग्रेड_बिंदु_औसत निशान पत्र_ग्रेड स्कोर
bn:00041242n	
bn:00041248n	ढाल
bn:00041249n	प्रवणता gradients ढलान ढलानों ढाल
bn:00041258n	आदेश_दिया_श्रृंखला पैमाने माप_के_पैमाने स्नातक_की_उपाधि_प्राप्त_की_तालिका
bn:00041278n	
bn:00041291n	graining woodgraining
bn:00041304n	syntactician वैयाकरण
bn:00041313n	दादी ग्रान नानी
bn:00041333n	भव्य_जूरी भव्य_निर्णायक_मंडल संघीय_ग्रैंड_जूरी
bn:00041360n	
bn:00041363n	पितामह grandparent नाना परदादा
bn:00041380n	
bn:00041402n	अंगूर_कुंज
bn:00041411n	मुँह_के_शब्द शब्द_का_मुँह
bn:00041412n	ग्राफ चित्रमय_रिकॉर्ड
bn:00041433n	घास graminoid
bn:00041452n	
bn:00041457n	
bn:00041463n	
bn:00041467n	
bn:00041473n	graveness
bn:00041491n	गुरुत्वाकर्षण गुरुत्व गुरुत्व_बल गुरुत्वकार्षक गुरुत्वाकर्षक गुरुत्वाकर्षण_का_सिद्धांत गुरुत्वाकर्षण_सिद्धांत गुरुत्वीय_क्षेत्र गुरुत्वाकर्षण_के_आकर्षण गुरुत्व_के_कानून गुरुत्वाकर्षण_बल गुरुत्वाकर्षण_भौतिकी
