bn:00000004n	صفر 0
bn:00056956n	حب_الوطنی قَوم_پَرْوَری‎ حب_الوطني
bn:00056996n	طبیعیات طبیعیات‎ طبعيات طبعیات طبيعات طبيعيات طبيعياتي طبیعات طبیعیاتی علم_طبيعات علم_طبیعات علمِ_طبيعيات علمِ_طبیعیات فزكس فزکس
bn:00056998n	
bn:00057015n	قدرتی_فلسفہ قدرتی_فلسفے
bn:00057017n	فطرت طبیعت‎ فطرت‎ قُدرت‎ natural nature طبيعي طبیعی فطرتي فطرتی فطري فطری قدرت قدرتي قدرتی نيچرل نیچرل
bn:00057018n	
bn:00057046n	
bn:00057052n	بحریہ بحریہ‎ بحريہ
bn:00057075n	
bn:00057100n	شمالی_کیرولائنا شمالی_کیرولینا شمالي_كيرولائنا شمالي_كيرولينا
bn:00057102n	شمال مغرب
bn:00057131n	
bn:00057149n	ٹائی نکٹائی‎ ٹائی‎
bn:00057164n	
bn:00057169n	
bn:00057191n	
bn:00057219n	پَڑوسن‎ پَڑوسی‎ ہَمْسایَہ‎
bn:00057221n	
bn:00057237n	némesis
bn:00057248n	neocortex
bn:00057267n	نیوپلازم نُفّاخ neoplasia neoplasm نفاخ نیوپلاسیا نيوپلازم نيوپلاسيا
bn:00057309n	
bn:00057322n	عصب nerve
bn:00057338n	
bn:00057341n	عصبی_نظام nervous_system اعصاب اعصابي اعصابي_نظام اعصابی اعصابی_نظام عصبي_نظام نروس_سسٹم
bn:00057353n	گھونسلہ گھوںسلا‎
bn:00057354n	
bn:00057358n	
bn:00057361n	
bn:00057367n	
bn:00057373n	
bn:00057379n	شبکہ‎
bn:00057430n	عصاب neurosis
bn:00057436n	
bn:00057440n	
bn:00057441n	
bn:00057443n	
bn:00057453n	
bn:00057474n	نیو_انگلینڈ نيو_انگلينڈ
bn:00057476n	
bn:00057502n	
bn:00057503n	جدید_دنیا جديد_دنيا
bn:00057533n	
bn:00057543n	نیوپورٹ،_ویلز newport نیوپورٹ نيوپورٹ،_ويلز
bn:00057546n	خبریں خبر سماچار news اخبارات الفا_نیوز_کال جرائد خبروں خبريں
bn:00057548n	
bn:00057552n	
bn:00057554n	
bn:00057561n	اخبار_نامہ‎ اطلاع_نامہ‎ خبرنامہ‎
bn:00057562n	صحافی‎
bn:00057563n	اخبار
bn:00057564n	
bn:00057569n	
bn:00057623n	
bn:00057624n	
bn:00057642n	نکوٹین نكوٹين
bn:00057677n	
bn:00057682n	
bn:00057750n	
bn:00057768n	
bn:00057809n	
bn:00057820n	ترتیبی_نمبر
bn:00057847n	
bn:00057863n	شوروغل
bn:00057885n	
bn:00057891n	
bn:00057892n	قس قسیس
bn:00057894n	
bn:00057943n	غیر_افسانوی_ادب غیر_افسانوی_کتاب غیر_افسانوی_کام غير_افسانوي_ادب
bn:00057996n	
bn:00058008n	norma
bn:00058031n	
bn:00058032n	
bn:00058033n	
bn:00058061n	قطب_شمالی north_pole شمالي_قطب شمالی_قطب قطب_شمال قطب_شمالي
bn:00058096n	
bn:00058117n	ناک ناک‎ ناك
bn:00058124n	
bn:00058145n	
bn:00058146n	
bn:00058147n	
bn:00058164n	
bn:00058165n	
bn:00058173n	اِطِّلَاع‎
bn:00058174n	
bn:00058192n	نومبر november
bn:00058201n	ناول ناول‎ حادث ناولوں
bn:00058205n	ناول_نگار ناول_نويس ناول_نویس
bn:00058217n	
bn:00058218n	حال
bn:00058254n	مرکزیچہ nucleolus مركزيچہ
bn:00058259n	جوہری_نویہ atomic_nucleus نویہ جوہري_نويہ نويہ
bn:00058262n	
bn:00058273n	
bn:00058277n	
bn:00058285n	عدد اعداد نمبر
bn:00058286n	ٹیلی_فون_نمبر فون_نمبر ٹيلي_فون_نمبر
bn:00058287n	
bn:00058341n	مغز
bn:00058398n	
bn:00058420n	حلف
bn:00058431n	
bn:00058442n	
bn:00058443n	
bn:00058458n	
bn:00058462n	
bn:00058468n	
bn:00058492n	
bn:00058494n	
bn:00058495n	
bn:00058496n	
bn:00058508n	
bn:00058511n	
bn:00058512n	
bn:00058531n	
bn:00058540n	
bn:00058546n	
bn:00058557n	ما_بعد_الطبیعیات مافوق_فطرت ما_ورا_الطبيعيات ما_ورا_الطبیعیات ما_وراء_الطبيعيات
bn:00058562n	رہائش_پزیری
bn:00058564n	
bn:00058573n	
bn:00058574n	سمندر sea
bn:00058579n	
bn:00058588n	
bn:00058593n	اکتوبر اکتوبر‎ october اكتوبر
bn:00058596n	
bn:00058638n	اودیسا اودیسہ odesa اوديسا اوڈيسا اوڈیسا
bn:00058653n	بو
bn:00058676n	
bn:00058679n	
bn:00058685n	
bn:00058697n	
bn:00058698n	پولیس_افسر پولیس_والا‎
bn:00058715n	
bn:00058732n	تیل آئل ائل تيل
bn:00058733n	
bn:00058741n	
bn:00058801n	
bn:00058804n	
bn:00058809n	
bn:00058824n	
bn:00058839n	
bn:00058844n	
bn:00058940n	
bn:00058967n	
bn:00058990n	
bn:00058992n	
bn:00059062n	
bn:00059075n	
bn:00059094n	افتتاحی_تقریب اِفْتِتَاح‎
bn:00059099n	
bn:00059107n	اوپرا اوپیرا‎ opera
bn:00059122n	جراح جراح‎ سرجن
bn:00059125n	
bn:00059126n	
bn:00059127n	
bn:00059130n	
bn:00059139n	
bn:00059141n	
bn:00059150n	سانپ سانپ‎
bn:00059168n	
bn:00059169n	
bn:00059170n	رائے_عامہ رائے_عامَّہ‎ راۓعامہ
bn:00059171n	
bn:00059175n	افیون افیون‎ افيون افیم
bn:00059182n	
bn:00059186n	
bn:00059192n	
bn:00059193n	
bn:00059196n	
bn:00059235n	
bn:00059249n	مالٹا سنگترہ مالٹا،_پھل
bn:00059250n	نارنجی نارنجی‎ نارَنْگی‎ مالٹائی_رنگ مالٹائي_رنگ نارنجي
bn:00059285n	آرکسٹرا آرکسٹرا‎ آركسٹرا اركسٹرا ارکسٹرا
bn:00059288n	
bn:00059291n	
bn:00059303n	امر‎ حکم‎ دستور‎ فرمان‎
bn:00059304n	
bn:00059305n	
bn:00059306n	
bn:00059307n	ترتیب
bn:00059309n	
bn:00059313n	
bn:00059436n	
bn:00059458n	عُضو عضو‎ عضو organ organs اعضاء اعضا
bn:00059459n	
bn:00059479n	
bn:00059480n	تنظیم تنظیم‎
bn:00059496n	
bn:00059508n	
bn:00059518n	
bn:00059529n	
bn:00059588n	نظام_تحریر املاء رسم_خط آرتھوگرافی writing_system خطات خطاط نظام_كتابت
bn:00059609n	
bn:00059610n	
bn:00059649n	
bn:00059651n	
bn:00059760n	
bn:00059768n	فضائے_بسیط بيروني_فضا بيروني_فضاء بیرونی_فضا بیرونی_فضاء خلا خلاء فضائے_بسيط كامل_خلا کامل_خلا
bn:00059772n	
bn:00059775n	
bn:00059788n	
bn:00059789n	
bn:00059811n	
bn:00059829n	تندور‎
bn:00059839n	
bn:00059843n	
bn:00059878n	
bn:00059908n	
bn:00059916n	
bn:00059953n	
bn:00059954n	صاحب‎ مالک‎
bn:00059958n	
bn:00059986n	
bn:00060020n	
bn:00060040n	اوزون
bn:00060050n	
bn:00060064n	
bn:00060066n	گز
bn:00060085n	بحر_الکاہل بحر_الکاہل‎ بحر_الكاہل بحرالكاہل بحرالکاہل پيسيفك پيسيفك_اوشن پیسیفک پیسیفک_اوشن
bn:00060099n	tempo
bn:00060113n	
bn:00060158n	صفحہ صفحهٔ
bn:00060169n	
bn:00060181n	درد‎ پیڑا‎
bn:00060182n	تکلیف
bn:00060198n	
bn:00060201n	نقاشی مصوری painting رنگكاري رنگکاری مصوري نقاشي
bn:00060202n	
bn:00060204n	
bn:00060222n	
bn:00060257n	
bn:00060340n	پاناما پنامہ panama جمہوريہ_پاناما جمہوریہ_پاناما پانامہ پناما
bn:00060375n	
bn:00060376n	
bn:00060420n	
bn:00060424n	
bn:00060464n	کاغذ کاغذ‎ كاغذ كاغذ_سازي كاغذات کاغذ_سازی کاغذات
bn:00060496n	
bn:00060539n	
bn:00060542n	paradigma
bn:00060547n	متناقضہ تناقضات
bn:00060556n	
bn:00060562n	
bn:00060598n	
bn:00060641n	
bn:00060643n	والدین والدين
bn:00060680n	
bn:00060690n	میدان_تفریح پارک park ميدان_تفريح
bn:00060699n	
bn:00060713n	
bn:00060761n	
bn:00060764n	
bn:00060765n	
bn:00060766n	
bn:00060767n	علاقہ جغرافیائی_علاقہ علاقهٔ_جات علاقہ_جات
bn:00060768n	
bn:00060769n	
bn:00060782n	پارتھینون parthenon پارتھينن پارتھينون پارتھینن
bn:00060787n	
bn:00060798n	
bn:00060799n	شَرِیک‎
bn:00060802n	ذَرَّہ‎
bn:00060807n	
bn:00060821n	شراکت partnership شراكت
bn:00060834n	سیاسی_جماعت جَماعَت‎ حِزْب‎ پارْٹی‎ سياسي_جماعت
bn:00060835n	
bn:00060836n	دعوت
bn:00060872n	
bn:00060873n	
bn:00060881n	
bn:00060885n	
bn:00060888n	
bn:00060894n	مسافر‎
bn:00060923n	
bn:00060927n	ماضی ماضی‎ ماضي ماضی_کے_متعلق
bn:00060928n	
bn:00060963n	
bn:00060967n	
bn:00060969n	
bn:00060984n	براءت patent برات سند_ایجاد سند_حق_ایجاد
bn:00061005n	
bn:00061006n	
bn:00061009n	
bn:00061017n	مریض بیمار مريض
bn:00061019n	مہتابی
bn:00061041n	
bn:00061050n	
bn:00061051n	
bn:00061054n	
bn:00061057n	
bn:00061084n	
bn:00061087n	
bn:00061093n	
bn:00061106n	
bn:00061119n	ادائیگی
bn:00061121n	
bn:00061123n	
bn:00061133n	
bn:00061135n	فیصد percent percentage فيصد
bn:00061149n	امن امن‎ سکون‎
bn:00061150n	
bn:00061177n	
bn:00061183n	
bn:00061187n	
bn:00061211n	کنکیر کنکر
bn:00061278n	
bn:00061296n	
bn:00061312n	
bn:00061325n	سزا دَنْڈ‎ سَزا‎
bn:00061330n	توبہ
bn:00061333n	
bn:00061334n	پنسل پینسل پنسیل
bn:00061370n	جزیرہ_نما جَزِیرَہ_نُما‎ جزيرهٔ_نما جزيرہ_نما جزیرهٔ_نما
bn:00061389n	penny
bn:00061410n	
bn:00061418n	پینٹا_گون pentagon
bn:00061446n	
bn:00061450n	لوگ
bn:00061453n	
bn:00061485n	
bn:00061500n	حسی_ادراک آگاہی percept perception آگہی پرسیپشن پرسیپٹ
bn:00061547n	
bn:00061550n	
bn:00061557n	
bn:00061560n	
bn:00061561n	
bn:00061564n	
bn:00061605n	
bn:00061610n	
bn:00061617n	
bn:00061651n	
bn:00061661n	
bn:00061666n	
bn:00061684n	
bn:00061727n	ذاتی_ملکیت
bn:00061736n	شخصیت
bn:00061746n	
bn:00061748n	
bn:00061751n	
bn:00061826n	درخواست آزادی_عرضداشت
bn:00061827n	
bn:00061843n	
bn:00061855n	پی_ایچ
bn:00061889n	
bn:00061897n	حلق حلق‎ گلا‎ throat گلا گلے
bn:00061898n	
bn:00061899n	
bn:00061916n	مرغ_زریں
bn:00061931n	
bn:00061933n	phenothiazine
bn:00061963n	
bn:00061979n	فلسفی
bn:00062019n	صوت
bn:00062020n	فون ہاتف ٹیلیفون telephone بعيد_تكلم بعید_تکلم ٹيلي_فون ٹیلی_فون ھاتف
bn:00062024n	
bn:00062025n	زمرہ:مواصلاتی_کھلاڑی
bn:00062034n	صوتیہ_شماری علم_اصوات علم_الصوتیہ فونيميات فونیمیات
bn:00062042n	رِکارْڈ_پِلیئَر‎ گِرامافون‎
bn:00062044n	
bn:00062065n	
bn:00062115n	مرکب_ناقص_یا_کلام_ناقص_کی_اقسام مركب_ناقص_يا_كلام_ناقص_كي_اقسام
bn:00062147n	
bn:00062166n	
bn:00062176n	طبیعیات_دان طبيعيات_دان
bn:00062203n	پیانو_نواز
bn:00062205n	
bn:00062214n	
bn:00062247n	
bn:00062275n	
bn:00062280n	
bn:00062281n	
bn:00062297n	ٹکڑا‎ کھنڈ‎
bn:00062298n	
bn:00062302n	
bn:00062308n	
bn:00062309n	
bn:00062310n	
bn:00062339n	
bn:00062340n	
bn:00062349n	آبدوز submarine ابدوز
bn:00062350n	
bn:00062368n	
bn:00062370n	
bn:00062387n	
bn:00062397n	
bn:00062414n	تکیہ
bn:00062431n	
bn:00062445n	
bn:00062466n	
bn:00062481n	
bn:00062507n	گلابی گلابی‎ گلابي
bn:00062533n	
bn:00062560n	
bn:00062570n	
bn:00062643n	
bn:00062644n	
bn:00062658n	
bn:00062668n	
bn:00062679n	پٹسبرگ pittsburgh
bn:00062699n	جگہ
bn:00062700n	
bn:00062701n	
bn:00062702n	
bn:00062703n	
bn:00062704n	
bn:00062706n	
bn:00062723n	
bn:00062734n	
bn:00062759n	تَدْبِیر‎ نَقشَہ‎
bn:00062766n	مستوی plane مستوي
bn:00062776n	
bn:00062794n	
bn:00062796n	
bn:00062824n	
bn:00062856n	لدائن پلاسٹک plastic پلاسٹك
bn:00062877n	
bn:00062878n	رکابی پلیٹ تھال‎ رکابی‎ رکاب‎ پلیٹ‎
bn:00062879n	
bn:00062899n	
bn:00062908n	
bn:00062910n	افلاطون ارسطو_کلیس فلاطون پلاٹون
bn:00062913n	
bn:00062914n	
bn:00062928n	
bn:00062929n	
bn:00062930n	
bn:00062933n	
bn:00062950n	
bn:00062951n	
bn:00062956n	
bn:00062963n	
bn:00062972n	لذت آنند‎
bn:00063002n	
bn:00063016n	
bn:00063036n	
bn:00063052n	
bn:00063060n	
bn:00063067n	
bn:00063086n	
bn:00063133n	وزیراعظم_مملکت_متحدہ وزیر_اعظمِ_مملکت_متحدہ وزیر_اعظم_مملکت_متحدہ
bn:00063155n	جیب جیب‎
bn:00063193n	
bn:00063195n	شاعری نظم شعر‎ اردو_شاعري اردو_شاعری شاعري
bn:00063196n	شاعر شاعرہ‎ شاعر‎ شاعرہ
bn:00063210n	
bn:00063213n	نقطہ point نقطهٔ
bn:00063214n	
bn:00063215n	
bn:00063216n	
bn:00063217n	
bn:00063221n	
bn:00063222n	
bn:00063236n	
bn:00063237n	
bn:00063256n	زہر زہر‎ ہلاہل‎ بِس سم ہلاہل
bn:00063287n	
bn:00063293n	
bn:00063295n	
bn:00063320n	
bn:00063326n	
bn:00063329n	
bn:00063330n	حکمت_عملی سیاسہ حكمت_عملي
bn:00063343n	
bn:00063351n	سیاست راج‌نیتی سياست سياسي سیاسی
bn:00063353n	
bn:00063356n	
bn:00063372n	
bn:00063382n	
bn:00063434n	
bn:00063439n	
bn:00063452n	
bn:00063506n	poncho
bn:00063508n	
bn:00063526n	
bn:00063534n	
bn:00063580n	
bn:00063584n	عَوام‎
bn:00063586n	مقبول_موسیقی
bn:00063595n	آبادی آبادي ابادي ابادی
bn:00063597n	
bn:00063598n	
bn:00063604n	
bn:00063608n	ڈیوڑھی ڈيوڑھي
bn:00063612n	
bn:00063640n	بندرگاہ بندرگاہوں بندرگاہیں بندرگاهں بندرگاہيں
bn:00063648n	
bn:00063672n	
bn:00063690n	پرتگالی پرتگالي پرتگیزی_زبان پرتگالی‎ پرتگیزی پرتگالي_زبان پرتگالی_زبان پرتگيزي پرتگيزي_زبان
bn:00063698n	
bn:00063703n	
bn:00063704n	
bn:00063706n	
bn:00063707n	
bn:00063708n	
bn:00063727n	
bn:00063729n	
bn:00063738n	
bn:00063739n	
bn:00063743n	
bn:00063804n	پوسٹ_ماسٹر_جنرل
bn:00063820n	
bn:00063864n	
bn:00063904n	
bn:00063925n	جنگی_قیدی جنگي_قيدي
bn:00063926n	پاؤڈر‎
bn:00063927n	
bn:00063940n	
bn:00063941n	طاقت power
bn:00063990n	
bn:00063994n	
bn:00064005n	
bn:00064010n	
bn:00064038n	
bn:00064059n	واعظ واعظ‎
bn:00064069n	
bn:00064072n	
bn:00064077n	
bn:00064093n	
bn:00064104n	
bn:00064111n	
bn:00064119n	
bn:00064165n	
bn:00064166n	
bn:00064167n	تیاری‎
bn:00064168n	حفظ_ما_تقدم
bn:00064175n	
bn:00064181n	ضرورت‎
bn:00064192n	
bn:00064201n	
bn:00064202n	
bn:00064214n	
bn:00064233n	صدر رئیس‎ صدر‎ لیڈر
bn:00064249n	
bn:00064262n	
bn:00064267n	
bn:00064276n	
bn:00064302n	
bn:00064308n	
bn:00064314n	
bn:00064323n	نرخ_بندی قیمت
bn:00064340n	
bn:00064346n	قسیس پادری‎ قسيس
bn:00064422n	
bn:00064426n	
bn:00064428n	قاعِدَہ‎
bn:00064429n	
bn:00064468n	قید_خانہ jail prison جيل جیل زندان قيد_خانہ
bn:00064482n	نجی_درس_گاہ نجی_تعلیمی_ادارہ نجی_اسکول نجی_مدرسہ
bn:00064489n	
bn:00064500n	
bn:00064526n	
bn:00064527n	
bn:00064536n	عملیت‎
bn:00064542n	
bn:00064545n	processing
bn:00064570n	
bn:00064582n	
bn:00064584n	
bn:00064585n	حاصل
bn:00064590n	
bn:00064591n	
bn:00064592n	
bn:00064598n	
bn:00064601n	پروفیسر استاد استاذ اساتذۂ_کرام معلم پروفيسر
bn:00064607n	پیشہ‎
bn:00064608n	پیشہ profession professions پروفیشن پیشوں پیشے پروفيشن پيشوں پيشہ پيشے
bn:00064624n	
bn:00064627n	profil
bn:00064645n	
bn:00064646n	
bn:00064659n	
bn:00064661n	
bn:00064666n	راکٹ
bn:00064667n	
bn:00064668n	
bn:00064673n	
bn:00064681n	
bn:00064695n	پرومیتھیس پروميتھيس
bn:00064696n	
bn:00064699n	
bn:00064721n	اسم_ضمیر ضمیر ضمیر‎ اسم_ضمير
bn:00064731n	
bn:00064735n	پروپیگنڈا propagandă پراپيگنڈا پراپیگنڈا پروپيگنڈا پروپگنڈا
bn:00064747n	پروپیلر‎
bn:00064752n	خاصیت
bn:00064765n	
bn:00064776n	
bn:00064785n	
bn:00064795n	
bn:00064806n	پراسیکیوٹر
bn:00064837n	
bn:00064838n	
bn:00064853n	
bn:00064855n	لحمیات پروٹین protein proteins لحميات لحمياتي لحميہ لحمیاتی لحمیہ پروٹين
bn:00064857n	
bn:00064862n	
bn:00064865n	
bn:00064866n	
bn:00064869n	پروٹسٹنٹ_مسیحیت پروٹسٹنٹ
bn:00064912n	سَپْلائِر‎
bn:00064914n	صوبہ صوبوں
bn:00064918n	
bn:00064919n	
bn:00064921n	
bn:00064922n	
bn:00064987n	
bn:00065006n	نفس
bn:00065026n	نفسیات psycology نفسيات نفسياتي نفسیاتی
bn:00065028n	ماہر_نفسیات
bn:00065036n	
bn:00065090n	
bn:00065095n	سرکاری_مدرسہ سرکاری_اسکول حکومتی_اسکول عوامی_اسکول سركاري_اسكولوں سركاري_مدرسہ سرکاری_اسکولوں
bn:00065099n	چوک
bn:00065100n	پبلک_ٹرانسپورٹ‎
bn:00065106n	مطبوعہ
bn:00065108n	اشاعت
bn:00065111n	
bn:00065158n	
bn:00065159n	
bn:00065180n	
bn:00065194n	
bn:00065198n	
bn:00065224n	رموز_اوقاف رموز_اوقاف‎ punctuation اوقاف تنقيط تنقیط
bn:00065252n	
bn:00065265n	
bn:00065266n	
bn:00065270n	
bn:00065271n	
bn:00065272n	
bn:00065281n	
bn:00065286n	
bn:00065321n	
bn:00065332n	
bn:00065338n	
bn:00065343n	
bn:00065359n	
bn:00065414n	pyrex
bn:00065438n	
bn:00065461n	python
bn:00065465n	
bn:00065485n	
bn:00065538n	معیار کیفیت
bn:00065539n	
bn:00065542n	کیفیت_حیات كوالٹي_آف_لائف كوالٹي_اف_لائف كيفيت_حيات کوالٹی_آف_لائف کوالٹی_اف_لائف
bn:00065576n	محلہ
bn:00065623n	
bn:00065625n	
bn:00065634n	
bn:00065677n	سوالنامہ
bn:00065703n	خاموشی‎
bn:00065706n	
bn:00065742n	
bn:00065772n	رداس رداس‎ نصف_قطر نصف_قُطر
bn:00065798n	
bn:00065800n	نسل
bn:00065837n	
bn:00065841n	
bn:00065850n	
bn:00065874n	اشعاع شعاع_ريزي شعاع_ریزی
bn:00065875n	
bn:00065882n	
bn:00065899n	ریڈیو مشعہ ریڈِیو‎ مشعہ‎
bn:00065900n	وصول_کنندہ ریڈیو مشعي_وصولہ مشعی_وصولہ وصول_كنندهٔ وصول_كنندہ وصول_کنندهٔ وصولهٔ وصولہ
bn:00065901n	
bn:00065909n	
bn:00065913n	مشعہ_امواج ریڈیائی_لہر ريڈيائي_لہر مشعهٔ_امواج
bn:00065920n	ریڈیو_دوربین
bn:00065934n	
bn:00065985n	
bn:00066008n	
bn:00066020n	
bn:00066026n	ریلوے_اسٹیشن ريلوے_اسٹيشن
bn:00066028n	ریل_گاڑی ٹرین قطار گاڑی ريل_گاڑي قطاريہ قطاریہ قِطار ٹرين ٹرينيں ٹرینیں
bn:00066032n	بارش بارش‎ برسات‎ مینہ‎ rain برسات بركھا برکھا مينہ ميگھا مینہ میگھا
bn:00066043n	
bn:00066084n	
bn:00066091n	تصادفی_رسائی_حافظہ رینڈم_ایکسس_میموری تصادفي_رسائي_حافظہ تصادفي_رسائي_يادداشتہ تصادفی_رسائی_یادداشتہ رينڈم_ايكسس_ميموري شمارندي_حافظہ شمارندی_حافظہ
bn:00066125n	
bn:00066138n	
bn:00066139n	
bn:00066140n	
bn:00066151n	
bn:00066152n	
bn:00066153n	
bn:00066164n	
bn:00066165n	
bn:00066236n	
bn:00066242n	
bn:00066247n	
bn:00066260n	عقلیت عقلیت_پسندی
bn:00066264n	
bn:00066271n	
bn:00066277n	
bn:00066301n	
bn:00066322n	استرا‎
bn:00066328n	
bn:00066333n	
bn:00066339n	
bn:00066343n	
bn:00066344n	
bn:00066354n	
bn:00066365n	
bn:00066366n	
bn:00066372n	مطالعہ
bn:00066373n	
bn:00066385n	
bn:00066402n	حقیقی_زندگی حقيقي_زندگي
bn:00066404n	
bn:00066411n	
bn:00066414n	حقیقت حقيقت
bn:00066418n	
bn:00066431n	
bn:00066443n	
bn:00066464n	
bn:00066466n	
bn:00066489n	
bn:00066493n	
bn:00066506n	
bn:00066508n	
bn:00066512n	
bn:00066513n	استقبال_کنندہ
bn:00066543n	
bn:00066562n	
bn:00066570n	
bn:00066571n	
bn:00066574n	
bn:00066575n	
bn:00066576n	
bn:00066577n	
bn:00066578n	
bn:00066587n	
bn:00066588n	
bn:00066590n	
bn:00066594n	
bn:00066612n	مقومہ تخلیص_کار rectifier ریکٹیفائر تخليص_كار ريكٹي_فائر ريكٹي_فكيشن ريكٹيفائر ریکٹی_فائر ریکٹی_فکیشن
bn:00066632n	red_river
bn:00066711n	
bn:00066712n	
bn:00066715n	
bn:00066729n	قانونی_مداوا قانوني_مداوا
bn:00066763n	
bn:00066766n	
bn:00066777n	
bn:00066803n	
bn:00066804n	شکّر چینی شَکَّر‎ مِصْری‎ چِینی‎ شكّر
bn:00066811n	باقاعدہ_انعکاس قوانین_انعکاس
bn:00066816n	
bn:00066829n	
bn:00066858n	
bn:00066861n	انکار‎
bn:00066862n	
bn:00066863n	
bn:00066865n	
bn:00066879n	
bn:00066880n	رجمنٹ
bn:00066884n	علاقہ‎
bn:00066890n	
bn:00066901n	
bn:00066927n	
bn:00066933n	
bn:00066937n	
bn:00066947n	
bn:00066961n	
bn:00066966n	
bn:00066969n	
bn:00066995n	
bn:00066996n	رشتہ_دار‎
bn:00067001n	
bn:00067002n	
bn:00067023n	
bn:00067030n	
bn:00067033n	تبرک باقیات تبرکات
bn:00067036n	
bn:00067037n	
bn:00067065n	
bn:00067087n	
bn:00067098n	نشاۃ_ثانیہ renaissance نشاۃ_ثانيہ
bn:00067106n	
bn:00067110n	
bn:00067125n	بھاڑا کرایہ
bn:00067153n	
bn:00067157n	
bn:00067165n	
bn:00067169n	
bn:00067170n	
bn:00067171n	وارث‎
bn:00067173n	
bn:00067181n	ذکر رپورٹ‎ ذكر رپٹ
bn:00067191n	
bn:00067192n	
bn:00067208n	
bn:00067236n	ترکیہ ترکی ترکی‎ باتمان ترك_جمہوريہ تركي ترک_جمہوریہ ترکیا جمہوريہ_تركي جمہوريہ_تركيہ جمہوريۂ_تركي جمہوریہ_ترکی جمہوریہ_ترکیہ جمہوریۂ_ترکی
bn:00067239n	وینیزویلا وینزویلا‎ وینیزویلا‎ وینزوئیلا وينزوئلا وينزويلا وينيزويلا وینزوئلا وینزویلا
bn:00067242n	
bn:00067250n	
bn:00067253n	شہرت
bn:00067280n	تحقیق research تحقيق
bn:00067290n	
bn:00067291n	
bn:00067321n	استعفا استعفا‎ استعفٰی‎ استعفی استعفیٰ
bn:00067327n	
bn:00067339n	
bn:00067345n	
bn:00067352n	
bn:00067353n	
bn:00067356n	
bn:00067367n	
bn:00067370n	ذِمِّیداری‎
bn:00067373n	
bn:00067379n	
bn:00067409n	
bn:00067419n	
bn:00067421n	
bn:00067423n	خادم‎ ملازم‎ نوکرانی‎ نوکر‎ چاکر‎
bn:00067446n	شبکیہ ریٹنا‎ شبکیہ‎ retina شبكيہ
bn:00067455n	
bn:00067456n	
bn:00067499n	
bn:00067506n	
bn:00067509n	
bn:00067519n	مالیات محصول مالیات‎ محصول‎ ٹیکس‎ ماليات ٹيكس ٹیکس
bn:00067530n	
bn:00067567n	
bn:00067568n	انقلاب انقلاب‎
bn:00067581n	
bn:00067590n	
bn:00067616n	اشعالیت rheumatic_disorder rheumatism اشعاليت
bn:00067650n	
bn:00067680n	
bn:00067703n	
bn:00067710n	
bn:00067717n	oryza_sativa
bn:00067718n	چاول چاول‎
bn:00067741n	
bn:00067757n	
bn:00067770n	
bn:00067785n	تفنگ بندوق رائفل‎ رائفل rifle
bn:00067791n	
bn:00067803n	
bn:00067807n	حقوق
bn:00067808n	
bn:00067809n	
bn:00067811n	
bn:00067812n	
bn:00067816n	
bn:00067819n	قائمہ_زاویہ زاویہ_قائمہ
bn:00067845n	حقوق_راۓ حقوق_رائے
bn:00067846n	
bn:00067860n	
bn:00067862n	
bn:00067912n	
bn:00067924n	
bn:00067937n	
bn:00067939n	
bn:00067948n	دریا river دريا درياؤں درياوں دریاؤں دریاوں
bn:00067959n	
bn:00067975n	سڑک جادَہ‎ راسْتَہ‎ راہ‎ سَڑَک‎ road روڈ سڑکوں سڑکیں شارع سڑك سڑكوں سڑكيں
bn:00068012n	ڈاکو‎
bn:00068017n	
bn:00068045n	
bn:00068046n	حجر
bn:00068105n	
bn:00068115n	ایکس_شعاع ایکس_شعاعات ايكس_شعاع ايكس_شعاعات
bn:00068131n	
bn:00068132n	
bn:00068156n	
bn:00068172n	
bn:00068180n	
bn:00068181n	کاتھولک‎ کیتھولک‎
bn:00068203n	
bn:00068220n	
bn:00068221n	
bn:00068233n	کمرہ کمرا كمرہ
bn:00068234n	
bn:00068239n	درجہ_حرارت_کمرہ درجۂحرارت_کمرہ room_temperature درجهٔ_حرارت_كمرہ درجهٔ_حرارت_کمرہ درجہ_حرارت_كمرہ
bn:00068248n	
bn:00068266n	رسی
bn:00068283n	گلاب گلاب‎ rose
bn:00068323n	
bn:00068343n	
bn:00068389n	
bn:00068411n	
bn:00068424n	
bn:00068452n	
bn:00068458n	
bn:00068477n	
bn:00068547n	
bn:00068548n	
bn:00068550n	
bn:00068571n	
bn:00068575n	
bn:00068589n	
bn:00068607n	
bn:00068610n	
bn:00068619n	سوویت_اتحاد soviet_union سوويت سوويت_اتحاد سوويت_روس سوويت_يونين سوویت سوویت_روس سوویت_یونین سويت_اتحاد سويت_يونين سویت_اتحاد سویت_یونین
bn:00068620n	روسی_سوویت_وفاقی_اشتراکی_جمہوریہ russian_soviet_federative_socialist_republic روسي_سوويت_وفاقي_اشتراكي_جمہوريہ روسي_سوويت_وفاقي_سوشلسٹ_جمہوريہ روسی_سوویت_وفاقی_سوشلسٹ_جمہوریہ
bn:00068650n	
bn:00068672n	سیکنڈ ثانیہ ثانیہ‎ سیکنڈ‎ ثانيہ ثانيۓ ثانیۓ سيكنڈ لحظہ لمحہ
bn:00068696n	ہفتہ سنیچر‎ شنبہ‎ ہفتہ‎ سنیچر شنبہ
